Dataset,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Filter_v2_Best,2015-01-05 06:00:00,500000.0,10000.0,14,-40098.0,-8.02,459902.0
Filter_v2_Best,2015-01-12 06:00:00,459902.0,9198.0,19,-47072.0,-10.24,412830.0
Filter_v2_Best,2015-01-19 06:00:00,412830.0,8257.0,14,36828.0,8.92,449658.0
Filter_v2_Best,2015-01-26 06:00:00,449658.0,8993.0,16,47921.0,10.66,497580.0
Filter_v2_Best,2015-02-02 06:00:00,497580.0,9952.0,9,-5048.0,-1.01,492532.0
Filter_v2_Best,2015-02-09 06:00:00,492532.0,9851.0,23,9645.0,1.96,502177.0
Filter_v2_Best,2015-02-16 06:00:00,502177.0,10044.0,20,-4001.0,-0.8,498176.0
Filter_v2_Best,2015-02-23 06:00:00,498176.0,9964.0,23,-25851.0,-5.19,472325.0
Filter_v2_Best,2015-03-02 06:00:00,472325.0,9447.0,20,-3468.0,-0.73,468857.0
Filter_v2_Best,2015-03-09 06:00:00,468857.0,9377.0,35,95992.0,20.47,564850.0
Filter_v2_Best,2015-03-16 06:00:00,564850.0,11297.0,14,73103.0,12.94,637953.0
Filter_v2_Best,2015-03-23 06:00:00,637953.0,12759.0,28,53610.0,8.4,691563.0
Filter_v2_Best,2015-03-30 06:00:00,691563.0,13831.0,17,-26419.0,-3.82,665144.0
Filter_v2_Best,2015-04-06 06:00:00,665144.0,13303.0,24,-41949.0,-6.31,623194.0
Filter_v2_Best,2015-04-13 06:00:00,623194.0,12464.0,22,-108814.0,-17.46,514380.0
Filter_v2_Best,2015-04-20 06:00:00,514380.0,10288.0,25,-450.0,-0.09,513930.0
Filter_v2_Best,2015-04-27 06:00:00,513930.0,10279.0,20,81674.0,15.89,595603.0
Filter_v2_Best,2015-05-04 06:00:00,595603.0,11912.0,16,41248.0,6.93,636852.0
Filter_v2_Best,2015-05-11 06:00:00,636852.0,12737.0,26,25839.0,4.06,662691.0
Filter_v2_Best,2015-05-18 06:00:00,662691.0,13254.0,19,-15406.0,-2.32,647284.0
Filter_v2_Best,2015-05-25 06:00:00,647284.0,12946.0,30,-50804.0,-7.85,596481.0
Filter_v2_Best,2015-06-01 06:00:00,596481.0,11930.0,11,18883.0,3.17,615364.0
Filter_v2_Best,2015-06-08 06:00:00,615364.0,12307.0,27,-43980.0,-7.15,571384.0
Filter_v2_Best,2015-06-15 06:00:00,571384.0,11428.0,19,50177.0,8.78,621562.0
Filter_v2_Best,2015-06-22 06:00:00,621562.0,12431.0,31,36772.0,5.92,658334.0
Filter_v2_Best,2015-06-29 06:00:00,658334.0,13167.0,9,90807.0,13.79,749141.0
Filter_v2_Best,2015-07-06 06:00:00,749141.0,14983.0,13,5111.0,0.68,754252.0
Filter_v2_Best,2015-07-13 06:00:00,754252.0,15085.0,18,155521.0,20.62,909773.0
Filter_v2_Best,2015-07-20 06:00:00,909773.0,18195.0,24,2812.0,0.31,912585.0
Filter_v2_Best,2015-07-27 06:00:00,912585.0,18252.0,25,4228.0,0.46,916813.0
Filter_v2_Best,2015-08-03 06:00:00,916813.0,18336.0,21,45644.0,4.98,962457.0
Filter_v2_Best,2015-08-10 06:00:00,962457.0,19249.0,19,153455.0,15.94,1115912.0
Filter_v2_Best,2015-08-17 06:00:00,1115912.0,22318.0,12,-51725.0,-4.64,1064187.0
Filter_v2_Best,2015-08-24 06:00:00,1064187.0,21284.0,5,-7000.0,-0.66,1057187.0
Filter_v2_Best,2015-08-31 06:00:00,1057187.0,21144.0,13,56978.0,5.39,1114165.0
Filter_v2_Best,2015-09-07 06:00:00,1114165.0,22283.0,18,121906.0,10.94,1236072.0
Filter_v2_Best,2015-09-14 06:00:00,1236072.0,24721.0,13,-231292.0,-18.71,1004780.0
Filter_v2_Best,2015-09-21 06:00:00,1004780.0,20096.0,19,68340.0,6.8,1073120.0
Filter_v2_Best,2015-09-28 06:00:00,1073120.0,21462.0,16,-59755.0,-5.57,1013365.0
Filter_v2_Best,2015-10-05 06:00:00,1013365.0,20267.0,13,-60357.0,-5.96,953008.0
Filter_v2_Best,2015-10-12 06:00:00,953008.0,19060.0,15,21144.0,2.22,974152.0
Filter_v2_Best,2015-10-19 06:00:00,974152.0,19483.0,19,-66688.0,-6.85,907464.0
Filter_v2_Best,2015-10-26 06:00:00,907464.0,18149.0,17,33990.0,3.75,941455.0
Filter_v2_Best,2015-11-02 06:00:00,941455.0,18829.0,19,-41411.0,-4.4,900043.0
Filter_v2_Best,2015-11-09 06:00:00,900043.0,18001.0,43,58585.0,6.51,958629.0
Filter_v2_Best,2015-11-16 06:00:00,958629.0,19173.0,21,54633.0,5.7,1013262.0
Filter_v2_Best,2015-11-23 06:00:00,1013262.0,20265.0,31,-23329.0,-2.3,989933.0
Filter_v2_Best,2015-11-30 06:00:00,989933.0,19799.0,18,148543.0,15.01,1138476.0
Filter_v2_Best,2015-12-07 06:00:00,1138476.0,22770.0,24,-32819.0,-2.88,1105657.0
Filter_v2_Best,2015-12-14 06:00:00,1105657.0,22113.0,15,224363.0,20.29,1330020.0
Filter_v2_Best,2015-12-21 06:00:00,1330020.0,26600.0,22,65841.0,4.95,1395861.0
Filter_v2_Best,2016-01-04 06:00:00,1395861.0,27917.0,10,-59032.0,-4.23,1336829.0
Filter_v2_Best,2016-01-11 06:00:00,1336829.0,26737.0,14,62603.0,4.68,1399432.0
Filter_v2_Best,2016-01-18 06:00:00,1399432.0,27989.0,8,111452.0,7.96,1510884.0
Filter_v2_Best,2016-01-25 06:00:00,1510884.0,30218.0,17,94061.0,6.23,1604945.0
Filter_v2_Best,2016-02-01 06:00:00,1604945.0,32099.0,7,50160.0,3.13,1655105.0
Filter_v2_Best,2016-02-08 06:00:00,1655105.0,33102.0,8,-89018.0,-5.38,1566087.0
Filter_v2_Best,2016-02-15 06:00:00,1566087.0,31322.0,13,351618.0,22.45,1917704.0
Filter_v2_Best,2016-02-22 06:00:00,1917704.0,38354.0,15,232351.0,12.12,2150055.0
Filter_v2_Best,2016-02-29 06:00:00,2150055.0,43001.0,6,-62645.0,-2.91,2087409.0
Filter_v2_Best,2016-03-07 06:00:00,2087409.0,41748.0,22,307835.0,14.75,2395244.0
Filter_v2_Best,2016-03-14 06:00:00,2395244.0,47905.0,18,-458699.0,-19.15,1936545.0
Filter_v2_Best,2016-03-21 06:00:00,1936545.0,38731.0,25,325817.0,16.82,2262362.0
Filter_v2_Best,2016-03-28 06:00:00,2262362.0,45247.0,21,173200.0,7.66,2435562.0
Filter_v2_Best,2016-04-04 06:00:00,2435562.0,48711.0,18,-81451.0,-3.34,2354111.0
Filter_v2_Best,2016-04-11 06:00:00,2354111.0,47082.0,27,427417.0,18.16,2781527.0
Filter_v2_Best,2016-04-18 06:00:00,2781527.0,55631.0,20,621838.0,22.36,3403365.0
Filter_v2_Best,2016-04-25 06:00:00,3403365.0,68067.0,21,187644.0,5.51,3591009.0
Filter_v2_Best,2016-05-02 06:00:00,3591009.0,71820.0,19,441267.0,12.29,4032276.0
Filter_v2_Best,2016-05-09 06:00:00,4032276.0,80646.0,35,-60198.0,-1.49,3972078.0
Filter_v2_Best,2016-05-16 06:00:00,3972078.0,79442.0,20,373954.0,9.41,4346032.0
Filter_v2_Best,2016-05-23 06:00:00,4346032.0,86921.0,32,-319353.0,-7.35,4026679.0
Filter_v2_Best,2016-05-30 06:00:00,4026679.0,80534.0,14,-30634.0,-0.76,3996045.0
Filter_v2_Best,2016-06-06 06:00:00,3996045.0,79921.0,27,832394.0,20.83,4828438.0
Filter_v2_Best,2016-06-13 06:00:00,4828438.0,96569.0,16,808369.0,16.74,5636807.0
Filter_v2_Best,2016-06-20 06:00:00,5636807.0,112736.0,15,551328.0,9.78,6188135.0
Filter_v2_Best,2016-06-27 06:00:00,6188135.0,123763.0,15,-91884.0,-1.48,6096251.0
Filter_v2_Best,2016-07-04 06:00:00,6096251.0,121925.0,13,740399.0,12.15,6836650.0
Filter_v2_Best,2016-07-11 06:00:00,6836650.0,136733.0,20,2353119.0,34.42,9189769.0
Filter_v2_Best,2016-07-18 06:00:00,9189769.0,183795.0,17,979865.0,10.66,10169634.0
Filter_v2_Best,2016-07-25 06:00:00,10169634.0,203393.0,19,62607.0,0.62,10232241.0
Filter_v2_Best,2016-08-01 06:00:00,10232241.0,204645.0,16,-419878.0,-4.1,9812363.0
Filter_v2_Best,2016-08-08 06:00:00,9812363.0,196247.0,26,2239279.0,22.82,12051643.0
Filter_v2_Best,2016-08-15 06:00:00,12051643.0,241033.0,17,995881.0,8.26,13047524.0
Filter_v2_Best,2016-08-22 06:00:00,13047524.0,260950.0,24,-109557.0,-0.84,12937967.0
Filter_v2_Best,2016-08-29 06:00:00,12937967.0,258759.0,15,-103662.0,-0.8,12834305.0
Filter_v2_Best,2016-09-05 06:00:00,12834305.0,256686.0,22,-559647.0,-4.36,12274658.0
Filter_v2_Best,2016-09-12 06:00:00,12274658.0,245493.0,29,-2388361.0,-19.46,9886297.0
Filter_v2_Best,2016-09-19 06:00:00,9886297.0,197726.0,23,1220550.0,12.35,11106847.0
Filter_v2_Best,2016-09-26 06:00:00,11106847.0,222137.0,29,-687657.0,-6.19,10419189.0
Filter_v2_Best,2016-10-03 06:00:00,10419189.0,208384.0,14,-640086.0,-6.14,9779104.0
Filter_v2_Best,2016-10-10 06:00:00,9779104.0,195582.0,14,518894.0,5.31,10297998.0
Filter_v2_Best,2016-10-17 06:00:00,10297998.0,205960.0,19,-194689.0,-1.89,10103309.0
Filter_v2_Best,2016-10-24 06:00:00,10103309.0,202066.0,24,939230.0,9.3,11042539.0
Filter_v2_Best,2016-10-31 06:00:00,11042539.0,220851.0,11,47713.0,0.43,11090251.0
Filter_v2_Best,2016-11-07 06:00:00,11090251.0,221805.0,13,337245.0,3.04,11427496.0
Filter_v2_Best,2016-11-14 06:00:00,11427496.0,228550.0,29,399775.0,3.5,11827271.0
Filter_v2_Best,2016-11-21 06:00:00,11827271.0,236545.0,24,2516960.0,21.28,14344231.0
Filter_v2_Best,2016-11-28 06:00:00,14344231.0,286885.0,14,-591279.0,-4.12,13752952.0
Filter_v2_Best,2016-12-05 06:00:00,13752952.0,275059.0,21,956209.0,6.95,14709161.0
Filter_v2_Best,2016-12-12 06:00:00,14709161.0,294183.0,22,1085206.0,7.38,15794367.0
Filter_v2_Best,2016-12-19 06:00:00,15794367.0,315887.0,26,-1175344.0,-7.44,14619024.0
