Dataset,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Rejected_H1_ATR_P70,2015-01-05 06:00:00,500000.0,10000.0,14,-24264.0,-4.85,475736.0
Rejected_H1_ATR_P70,2015-01-12 06:00:00,475736.0,9515.0,24,87918.0,18.48,563654.0
Rejected_H1_ATR_P70,2015-01-19 06:00:00,563654.0,11273.0,21,81800.0,14.51,645453.0
Rejected_H1_ATR_P70,2015-01-26 06:00:00,645453.0,12909.0,25,138478.0,21.45,783931.0
Rejected_H1_ATR_P70,2015-02-02 06:00:00,783931.0,15679.0,18,-34175.0,-4.36,749756.0
Rejected_H1_ATR_P70,2015-02-09 06:00:00,749756.0,14995.0,33,53756.0,7.17,803512.0
Rejected_H1_ATR_P70,2015-02-16 06:00:00,803512.0,16070.0,7,-7343.0,-0.91,796169.0
Rejected_H1_ATR_P70,2015-02-23 06:00:00,796169.0,15923.0,10,-24532.0,-3.08,771637.0
Rejected_H1_ATR_P70,2015-03-02 06:00:00,771637.0,15433.0,2,9827.0,1.27,781464.0
Rejected_H1_ATR_P70,2015-03-09 06:00:00,781464.0,15629.0,32,37507.0,4.8,818971.0
Rejected_H1_ATR_P70,2015-03-16 06:00:00,818971.0,16379.0,11,51582.0,6.3,870553.0
Rejected_H1_ATR_P70,2015-03-23 06:00:00,870553.0,17411.0,17,71148.0,8.17,941701.0
Rejected_H1_ATR_P70,2015-03-30 06:00:00,941701.0,18834.0,13,-49377.0,-5.24,892323.0
Rejected_H1_ATR_P70,2015-04-06 06:00:00,892323.0,17846.0,7,11745.0,1.32,904069.0
Rejected_H1_ATR_P70,2015-04-13 06:00:00,904069.0,18081.0,16,-112027.0,-12.39,792042.0
Rejected_H1_ATR_P70,2015-04-20 06:00:00,792042.0,15841.0,7,7693.0,0.97,799735.0
Rejected_H1_ATR_P70,2015-04-27 06:00:00,799735.0,15995.0,8,24556.0,3.07,824291.0
Rejected_H1_ATR_P70,2015-05-04 06:00:00,824291.0,16486.0,12,55292.0,6.71,879583.0
Rejected_H1_ATR_P70,2015-05-11 06:00:00,879583.0,17592.0,37,-32536.0,-3.7,847047.0
Rejected_H1_ATR_P70,2015-05-18 06:00:00,847047.0,16941.0,6,-3289.0,-0.39,843758.0
Rejected_H1_ATR_P70,2015-05-25 06:00:00,843758.0,16875.0,12,-4193.0,-0.5,839565.0
Rejected_H1_ATR_P70,2015-06-01 06:00:00,839565.0,16791.0,7,35421.0,4.22,874986.0
Rejected_H1_ATR_P70,2015-06-08 06:00:00,874986.0,17500.0,32,54275.0,6.2,929261.0
Rejected_H1_ATR_P70,2015-06-15 06:00:00,929261.0,18585.0,11,100213.0,10.78,1029474.0
Rejected_H1_ATR_P70,2015-06-22 06:00:00,1029474.0,20589.0,8,18915.0,1.84,1048389.0
Rejected_H1_ATR_P70,2015-06-29 06:00:00,1048389.0,20968.0,19,162984.0,15.55,1211372.0
Rejected_H1_ATR_P70,2015-07-06 06:00:00,1211372.0,24227.0,32,19890.0,1.64,1231262.0
Rejected_H1_ATR_P70,2015-07-13 06:00:00,1231262.0,24625.0,24,234365.0,19.03,1465627.0
Rejected_H1_ATR_P70,2015-07-20 06:00:00,1465627.0,29313.0,6,31068.0,2.12,1496695.0
Rejected_H1_ATR_P70,2015-07-27 06:00:00,1496695.0,29934.0,11,210548.0,14.07,1707243.0
Rejected_H1_ATR_P70,2015-08-03 06:00:00,1707243.0,34145.0,3,-4096.0,-0.24,1703147.0
Rejected_H1_ATR_P70,2015-08-10 06:00:00,1703147.0,34063.0,7,-25600.0,-1.5,1677547.0
Rejected_H1_ATR_P70,2015-08-17 06:00:00,1677547.0,33551.0,7,37298.0,2.22,1714845.0
Rejected_H1_ATR_P70,2015-08-24 06:00:00,1714845.0,34297.0,22,-293794.0,-17.13,1421050.0
Rejected_H1_ATR_P70,2015-08-31 06:00:00,1421050.0,28421.0,13,-131055.0,-9.22,1289996.0
Rejected_H1_ATR_P70,2015-09-07 06:00:00,1289996.0,25800.0,32,330685.0,25.63,1620680.0
Rejected_H1_ATR_P70,2015-09-14 06:00:00,1620680.0,32414.0,19,-316275.0,-19.51,1304405.0
Rejected_H1_ATR_P70,2015-09-21 06:00:00,1304405.0,26088.0,24,37210.0,2.85,1341616.0
Rejected_H1_ATR_P70,2015-09-28 06:00:00,1341616.0,26832.0,10,-19786.0,-1.47,1321829.0
Rejected_H1_ATR_P70,2015-10-05 06:00:00,1321829.0,26437.0,11,-56659.0,-4.29,1265170.0
Rejected_H1_ATR_P70,2015-10-12 06:00:00,1265170.0,25303.0,7,42556.0,3.36,1307726.0
Rejected_H1_ATR_P70,2015-10-19 06:00:00,1307726.0,26155.0,6,-73592.0,-5.63,1234134.0
Rejected_H1_ATR_P70,2015-10-26 06:00:00,1234134.0,24683.0,8,17762.0,1.44,1251897.0
Rejected_H1_ATR_P70,2015-11-02 06:00:00,1251897.0,25038.0,6,-9604.0,-0.77,1242293.0
Rejected_H1_ATR_P70,2015-11-09 06:00:00,1242293.0,24846.0,15,100912.0,8.12,1343205.0
Rejected_H1_ATR_P70,2015-11-16 06:00:00,1343205.0,26864.0,7,-33339.0,-2.48,1309866.0
Rejected_H1_ATR_P70,2015-11-23 06:00:00,1309866.0,26197.0,7,52958.0,4.04,1362823.0
Rejected_H1_ATR_P70,2015-12-07 06:00:00,1362823.0,27256.0,23,-268852.0,-19.73,1093971.0
Rejected_H1_ATR_P70,2015-12-14 06:00:00,1093971.0,21879.0,18,183002.0,16.73,1276973.0
Rejected_H1_ATR_P70,2015-12-21 06:00:00,1276973.0,25539.0,6,15284.0,1.2,1292257.0
Rejected_H1_ATR_P70,2016-01-04 06:00:00,1292257.0,25845.0,17,166611.0,12.89,1458868.0
Rejected_H1_ATR_P70,2016-01-11 06:00:00,1458868.0,29177.0,39,315327.0,21.61,1774195.0
Rejected_H1_ATR_P70,2016-01-18 06:00:00,1774195.0,35484.0,15,-10856.0,-0.61,1763339.0
Rejected_H1_ATR_P70,2016-01-25 06:00:00,1763339.0,35267.0,17,-14093.0,-0.8,1749246.0
